step,q1,q2,q3,q4,q5
162,58.392033,14.360783,-31.689242,-89.952489,0.000522
163,58.392028,14.360782,-31.689240,-89.952489,0.000522
164,58.392027,14.360782,-31.689240,-89.952489,0.000522
165,58.392027,14.360782,-31.689240,-89.952489,0.000522
166,58.392027,14.360782,-31.689240,-89.952489,0.000522
167,58.392027,14.360782,-31.689240,-89.952489,0.000522
168,58.392027,14.360782,-31.689240,-89.952489,0.000522
169,58.392027,14.360782,-31.689240,-89.952489,0.000522
170,58.392027,14.360782,-31.689240,-89.952489,0.000522
171,58.392027,14.360782,-31.689240,-89.952489,0.000522
172,58.392027,14.360782,-31.689240,-89.952489,0.000522
173,58.392027,14.360782,-31.689240,-89.952489,0.000522
174,58.392027,14.360782,-31.689240,-89.952489,0.000522
175,58.392027,14.360782,-31.689240,-89.952489,0.000522
176,58.392027,14.360782,-31.689240,-89.952489,0.000522
177,58.392027,14.360782,-31.689240,-89.952489,0.000522
178,58.392027,14.360782,-31.689240,-89.952489,0.000522
179,58.392027,14.360782,-31.689240,-89.952489,0.000522
180,58.392027,14.360782,-31.689240,-89.952489,0.000522
181,58.392027,14.360782,-31.689240,-89.952489,0.000522
182,58.392027,14.360782,-31.689240,-89.952489,0.000522
183,58.392027,14.360782,-31.689240,-89.952489,0.000522
184,58.392027,14.360782,-31.689240,-89.952489,0.000522
185,58.392027,14.360782,-31.689240,-89.952489,0.000522
186,58.392027,14.360782,-31.689240,-89.952489,0.000522
187,58.392027,14.360782,-31.689240,-89.952489,0.000522
188,58.392027,14.360782,-31.689240,-89.952489,0.000522
189,58.392027,14.360782,-31.689240,-89.952489,0.000522
190,58.392027,14.360782,-31.689240,-89.952489,0.000522
191,58.392027,14.360782,-31.689240,-89.952489,0.000522
192,58.392027,14.360782,-31.689240,-89.952489,0.000522
193,58.392027,14.360782,-31.689240,-89.952489,0.000522
194,58.392027,14.360782,-31.689240,-89.952489,0.000522
195,58.392027,14.360782,-31.689240,-89.952489,0.000522
196,58.392027,14.360782,-31.689240,-89.952489,0.000522
197,58.392027,14.360782,-31.689240,-89.952489,0.000522
198,58.392027,14.360782,-31.689240,-89.952489,0.000522
199,58.392027,14.360782,-31.689240,-89.952489,0.000522
